family,representation,backbone,regressor,fold,seeds,test_n,r2,r2_seed_std,rmse,rmse_seed_std,rmse_bu_per_acre,rmse_bu_per_acre_seed_std,mae,mae_seed_std
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,xgboost,0,3,416,0.8637156933890621,0.00048417820976323763,13.197838249720201,0.023429395917432472,13.197838249720201,0.023429395917432472,10.072966636755528,0.03547333174692678
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,xgboost,1,3,415,0.8557680968972728,0.0024290528505528453,13.598323564343099,0.11447286576890543,13.598323564343099,0.11447286576890543,10.278172152722215,0.10320209280366789
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,xgboost,2,3,415,0.8909368693552175,0.0006390939347632029,11.339662067899368,0.033227604721754775,11.339662067899368,0.033227604721754775,8.572844087531768,0.021786402714410652
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,xgboost,3,3,415,0.8555964487762516,0.0011285533434235264,12.984862402780507,0.05067426961536786,12.984862402780507,0.05067426961536786,9.908854212014072,0.058513812985317694
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,xgboost,4,3,415,0.7684390373973934,0.0009459415011604183,15.608411519246884,0.031885413644979946,15.608411519246884,0.031885413644979946,11.310977051516614,0.02595270188865294
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,ebm,0,3,416,0.8741429521613567,0.0009005408689632058,12.682840963824349,0.04541990119575932,12.682840963824349,0.04541990119575932,9.608791781691684,0.03033261472376168
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,ebm,1,3,415,0.8502866160768914,0.0009737467052655032,13.854731172601944,0.04510379046915888,13.854731172601944,0.04510379046915888,10.369075487973523,0.049613558108959496
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,ebm,2,3,415,0.8857261617296799,0.00023734910844128268,11.607432583943053,0.01205852140799928,11.607432583943053,0.01205852140799928,8.872853351212735,0.017320503973057972
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,ebm,3,3,415,0.8725943107379656,0.00020577931171513622,12.1968024968874,0.009852507456231525,12.1968024968874,0.009852507456231525,9.344881899504431,0.020077129091992663
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,ebm,4,3,415,0.7880330670472206,0.0020690902971421143,14.933300973921304,0.07293387521119853,14.933300973921304,0.07293387521119853,10.933965066659368,0.026004275976481497
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,random_forest,0,3,416,0.8551310001054381,0.0004061842782507626,13.607171732141245,0.01906709831255075,13.607171732141245,0.01906709831255075,10.380117987336371,0.020237580169243347
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,random_forest,1,3,415,0.8379278052816908,0.001042113805176642,14.415247598065037,0.046317203199536194,14.415247598065037,0.046317203199536194,10.838683247415602,0.032384310493626056
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,random_forest,2,3,415,0.8704457266137361,0.0008445250010703618,12.359091747707046,0.04032860011802431,12.359091747707046,0.04032860011802431,9.56868792672559,0.02597172076989608
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,random_forest,3,3,415,0.8437671975442033,0.0007731248421506344,13.50630342249318,0.033447189459074045,13.50630342249318,0.033447189459074045,10.25224384934454,0.026665124380483813
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,random_forest,4,3,415,0.7330447896798056,0.0018656110537637698,16.7588217906054,0.05863222194570875,16.7588217906054,0.05863222194570875,11.790589628248442,0.024494701143948968
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,ridge,0,1,416,0.8676509698262416,0.0,13.00591594544843,0.0,13.00591594544843,0.0,10.155635859416082,0.0
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,ridge,1,1,415,0.8369514108855509,0.0,14.458678935242277,0.0,14.458678935242277,0.0,10.748141678040286,0.0
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,ridge,2,1,415,0.8687332630125698,0.0,12.440571790507649,0.0,12.440571790507649,0.0,9.420787232180675,0.0
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,ridge,3,1,415,0.8633046124983377,0.0,12.633644510071214,0.0,12.633644510071214,0.0,9.706917147349161,0.0
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,ridge,4,1,415,0.7862343336408923,0.0,14.996707340557023,0.0,14.996707340557023,0.0,11.376893277455524,0.0
