family,representation,backbone,regressor,fold,validation_fold,seed,train_n,validation_n,test_n,selected_alpha,validation_rmse,test_r2,test_rmse,test_rmse_bu_per_acre,test_mae
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,random_forest,2,,2,1246,415,415,,,0.8363053790688518,13.892493464846837,13.892493464846837,10.503457792486419
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,xgboost,2,,0,1246,415,415,,,0.8736533165106655,12.205200555411357,12.205200555411357,9.071821327669074
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,xgboost,2,,1,1246,415,415,,,0.8704217143656583,12.360302846583808,12.360302846583808,9.235928548789886
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,xgboost,2,,2,1246,415,415,,,0.8655180783777828,12.592006811800491,12.592006811800491,9.328635334796216
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,2,,0,1246,415,415,,,0.8719607812804373,12.286678788004604,12.286678788004604,9.185910941308467
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,2,,1,1246,415,415,,,0.8694743996049628,12.405402126026162,12.405402126026162,9.26626903252402
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,2,,2,1246,415,415,,,0.8687525362313445,12.43965846444732,12.43965846444732,9.297953473040222
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ridge,3,,0,1246,415,415,100.0,16.29256758635136,0.8536088821711165,13.07401821456124,13.07401821456124,10.155800586378717
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,random_forest,3,,0,1246,415,415,,,0.7517728408481972,17.02457859233445,17.02457859233445,12.93776638345033
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,random_forest,3,,1,1246,415,415,,,0.7544604451343239,16.932163531688897,16.932163531688897,12.833750895695111
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,random_forest,3,,2,1246,415,415,,,0.7531098871099924,16.97866624302851,16.97866624302851,12.948053316114935
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,xgboost,3,,0,1246,415,415,,,0.8105975560721842,14.871148535420478,14.871148535420478,11.183083827007247
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,xgboost,3,,1,1246,415,415,,,0.8274360985851794,14.194715667404754,14.194715667404754,10.730163291103867
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,xgboost,3,,2,1246,415,415,,,0.8262459750220099,14.243579995685618,14.243579995685618,10.814353314135447
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,3,,0,1246,415,415,,,0.8527290725102861,13.113246744039314,13.113246744039314,10.078013922937854
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,3,,1,1246,415,415,,,0.8548580865440027,13.018116216250055,13.018116216250055,9.954990172228058
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,3,,2,1246,415,415,,,0.8522176098347615,13.135997748859495,13.135997748859495,10.060942439786768
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ridge,4,,0,1245,416,415,100.0,14.93861462398079,0.7740083187444441,15.419602079967703,15.419602079967703,11.366475863169475
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,random_forest,4,,0,1245,416,415,,,0.6868424828802477,18.151326149418264,18.151326149418264,13.006488519852525
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,random_forest,4,,1,1245,416,415,,,0.6844878555769257,18.21943814864484,18.21943814864484,13.00325065440361
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,random_forest,4,,2,1245,416,415,,,0.6835976068957359,18.245124014814916,18.245124014814916,13.026050207844362
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,xgboost,4,,0,1245,416,415,,,0.7344449943200093,16.714915521735573,16.714915521735573,11.765236533291368
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,xgboost,4,,1,1245,416,415,,,0.7404249289094631,16.52564544027916,16.52564544027916,11.771732306422956
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,xgboost,4,,2,1245,416,415,,,0.7303084373166351,16.844596790882985,16.844596790882985,11.87866010550993
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,4,,0,1245,416,415,,,0.7731088297280234,15.450258051392318,15.450258051392318,11.26770038785885
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,4,,1,1245,416,415,,,0.7756081557313141,15.364926032481636,15.364926032481636,11.141940037877802
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,4,,2,1245,416,415,,,0.7774497514667547,15.301745754091682,15.301745754091682,11.141836118985266
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,ridge,0,,0,1245,415,416,100.0,13.962370862984978,0.8650759052667751,13.131831991823955,13.131831991823955,10.095142078399656
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,random_forest,0,,0,1245,415,416,,,0.8063348045001126,15.732811910695673,15.732811910695673,11.745827339614179
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,random_forest,0,,1,1245,415,416,,,0.8074358307373952,15.688026039369463,15.688026039369463,11.701586788772136
