representation,state_fips,state_name,experiment_id,representation_type,feature_dim,test_n,test_r2,test_rmse,test_mae,selected_alpha,validation_rmse,split_path
presto,46,South Dakota,frozen_presto_s2_ridge_mean_std_preencoded_global_pool,frozen_embedding,256,110,0.6731158270656543,21.95378350577773,17.63831688181818,10.0,14.169497947420538,outputs/cohort_covered/loso_state_tabular.csv
presto,55,Wisconsin,frozen_presto_s2_ridge_mean_std_preencoded_global_pool,frozen_embedding,256,143,0.4974831723385692,14.744056180292437,11.3015234965035,100.0,15.350991132427776,outputs/cohort_covered/loso_state_tabular.csv
prithvi,17,Illinois,frozen_prithvi_eo_v2_300_tl_per_timestep_spatial_mean_ridge_mean_std_joint,frozen_embedding,2048,258,0.556730908343275,14.645001371880504,11.096716375968992,100.0,14.51437133604336,outputs/cohort_covered/loso_state_tabular.csv
prithvi,18,Indiana,frozen_prithvi_eo_v2_300_tl_per_timestep_spatial_mean_ridge_mean_std_joint,frozen_embedding,2048,198,0.36480855470866114,13.679512952049421,10.531468686868688,100.0,12.6581617000879,outputs/cohort_covered/loso_state_tabular.csv
prithvi,19,Iowa,frozen_prithvi_eo_v2_300_tl_per_timestep_spatial_mean_ridge_mean_std_joint,frozen_embedding,2048,292,0.6224319647353651,12.582785617734714,9.906844897260275,100.0,24.114818719782647,outputs/cohort_covered/loso_state_tabular.csv
prithvi,20,Kansas,frozen_prithvi_eo_v2_300_tl_per_timestep_spatial_mean_ridge_mean_std_joint,frozen_embedding,2048,192,0.5472250395150114,24.500063316103933,18.379302614583334,100.0,18.40199917588505,outputs/cohort_covered/loso_state_tabular.csv
prithvi,21,Kentucky,frozen_prithvi_eo_v2_300_tl_per_timestep_spatial_mean_ridge_mean_std_joint,frozen_embedding,2048,66,-0.23251220204916545,16.16873024664893,12.48967212121212,100.0,20.69178591179242,outputs/cohort_covered/loso_state_tabular.csv
prithvi,26,Michigan,frozen_prithvi_eo_v2_300_tl_per_timestep_spatial_mean_ridge_mean_std_joint,frozen_embedding,2048,66,-0.24177864494158952,20.475798539243133,13.571423484848486,100.0,16.826126339252596,outputs/cohort_covered/loso_state_tabular.csv
prithvi,27,Minnesota,frozen_prithvi_eo_v2_300_tl_per_timestep_spatial_mean_ridge_mean_std_joint,frozen_embedding,2048,154,0.7102296816247164,16.476124959603567,11.352378753246754,100.0,16.11437232133514,outputs/cohort_covered/loso_state_tabular.csv
prithvi,29,Missouri,frozen_prithvi_eo_v2_300_tl_per_timestep_spatial_mean_ridge_mean_std_joint,frozen_embedding,2048,116,0.37813340832854714,15.940967165633928,12.418880689655172,100.0,18.796263081510254,outputs/cohort_covered/loso_state_tabular.csv
prithvi,31,Nebraska,frozen_prithvi_eo_v2_300_tl_per_timestep_spatial_mean_ridge_mean_std_joint,frozen_embedding,2048,216,0.6342567091630442,18.841005696577238,14.89449487962963,100.0,26.33958194387781,outputs/cohort_covered/loso_state_tabular.csv
prithvi,38,North Dakota,frozen_prithvi_eo_v2_300_tl_per_timestep_spatial_mean_ridge_mean_std_joint,frozen_embedding,2048,88,0.47276788185167407,27.277073416653604,21.53702073863636,100.0,14.530932432311161,outputs/cohort_covered/loso_state_tabular.csv
prithvi,39,Ohio,frozen_prithvi_eo_v2_300_tl_per_timestep_spatial_mean_ridge_mean_std_joint,frozen_embedding,2048,177,0.11129200061645905,15.28530778481167,11.50988559322034,100.0,19.91554773601515,outputs/cohort_covered/loso_state_tabular.csv
prithvi,46,South Dakota,frozen_prithvi_eo_v2_300_tl_per_timestep_spatial_mean_ridge_mean_std_joint,frozen_embedding,2048,110,0.7269182711597775,20.06590502161044,16.479879454545454,100.0,16.77301975372885,outputs/cohort_covered/loso_state_tabular.csv
prithvi,55,Wisconsin,frozen_prithvi_eo_v2_300_tl_per_timestep_spatial_mean_ridge_mean_std_joint,frozen_embedding,2048,143,0.37876829510437837,16.393378956932604,13.036723146853145,100.0,14.46417008623785,outputs/cohort_covered/loso_state_tabular.csv
sentinel2_indices,17,Illinois,handcrafted_sentinel2_indices_ridge_preaggregated_preaggregated_21d,handcrafted_baseline,21,258,0.43558481803553795,16.525516243618632,13.148729589147287,0.01,12.869288044586543,outputs/cohort_covered/loso_state_tabular.csv
sentinel2_indices,18,Indiana,handcrafted_sentinel2_indices_ridge_preaggregated_preaggregated_21d,handcrafted_baseline,21,198,0.3752233956357105,13.5669021890464,10.80384964646465,100.0,14.480379941228309,outputs/cohort_covered/loso_state_tabular.csv
sentinel2_indices,19,Iowa,handcrafted_sentinel2_indices_ridge_preaggregated_preaggregated_21d,handcrafted_baseline,21,292,0.5093942314237412,14.34318210738037,11.178591335616439,1.0,22.4467061978944,outputs/cohort_covered/loso_state_tabular.csv
sentinel2_indices,20,Kansas,handcrafted_sentinel2_indices_ridge_preaggregated_preaggregated_21d,handcrafted_baseline,21,192,0.6096922378050103,22.747286640093876,16.607295479166666,1.0,17.149292348480664,outputs/cohort_covered/loso_state_tabular.csv
sentinel2_indices,21,Kentucky,handcrafted_sentinel2_indices_ridge_preaggregated_preaggregated_21d,handcrafted_baseline,21,66,-0.4496010772094299,17.53495086354345,13.075086212121214,10.0,18.229952480699655,outputs/cohort_covered/loso_state_tabular.csv
sentinel2_indices,26,Michigan,handcrafted_sentinel2_indices_ridge_preaggregated_preaggregated_21d,handcrafted_baseline,21,66,0.01904996959044869,18.198776729250415,13.359490121212119,0.01,13.698042789898704,outputs/cohort_covered/loso_state_tabular.csv
sentinel2_indices,27,Minnesota,handcrafted_sentinel2_indices_ridge_preaggregated_preaggregated_21d,handcrafted_baseline,21,154,0.7921413795508676,13.954431508846156,11.252833993506492,0.1,16.884346820910675,outputs/cohort_covered/loso_state_tabular.csv
sentinel2_indices,29,Missouri,handcrafted_sentinel2_indices_ridge_preaggregated_preaggregated_21d,handcrafted_baseline,21,116,0.2793161829439784,17.160835935436957,13.46478775862069,1.0,16.49519638211345,outputs/cohort_covered/loso_state_tabular.csv
sentinel2_indices,31,Nebraska,handcrafted_sentinel2_indices_ridge_preaggregated_preaggregated_21d,handcrafted_baseline,21,216,0.7124379502369587,16.706354093118318,13.736420805555554,10.0,31.061309163831602,outputs/cohort_covered/loso_state_tabular.csv
sentinel2_indices,38,North Dakota,handcrafted_sentinel2_indices_ridge_preaggregated_preaggregated_21d,handcrafted_baseline,21,88,0.31249674375641523,31.148290963136265,27.06782475,1.0,13.246294324128426,outputs/cohort_covered/loso_state_tabular.csv
sentinel2_indices,39,Ohio,handcrafted_sentinel2_indices_ridge_preaggregated_preaggregated_21d,handcrafted_baseline,21,177,0.22721214214114194,14.253607264121596,11.415767141242938,0.01,20.435053444043625,outputs/cohort_covered/loso_state_tabular.csv
sentinel2_indices,46,South Dakota,handcrafted_sentinel2_indices_ridge_preaggregated_preaggregated_21d,handcrafted_baseline,21,110,0.6979082975091242,21.10482856908477,17.577780445454543,0.01,15.456020008683096,outputs/cohort_covered/loso_state_tabular.csv
sentinel2_indices,55,Wisconsin,handcrafted_sentinel2_indices_ridge_preaggregated_preaggregated_21d,handcrafted_baseline,21,143,0.20800947148974647,18.509797444805827,13.65902290909091,10.0,16.3423525950738,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_10,17,Illinois,frozen_terramind_v1_base_s2_10_zero_pad_ridge_mean_std_joint,frozen_embedding,1536,258,0.6742420570393988,12.55460920658411,9.966498992248061,100.0,13.47582022840382,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_10,18,Indiana,frozen_terramind_v1_base_s2_10_zero_pad_ridge_mean_std_joint,frozen_embedding,1536,198,0.43106187438725874,12.946454029442608,9.896504040404041,100.0,13.819484767204015,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_10,19,Iowa,frozen_terramind_v1_base_s2_10_zero_pad_ridge_mean_std_joint,frozen_embedding,1536,292,0.5567846717344221,13.632847390129093,10.754892226027396,100.0,25.393330395281943,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_10,20,Kansas,frozen_terramind_v1_base_s2_10_zero_pad_ridge_mean_std_joint,frozen_embedding,1536,192,0.48930470409719784,26.019978586117404,19.078015942708333,100.0,18.796387564648587,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_10,21,Kentucky,frozen_terramind_v1_base_s2_10_zero_pad_ridge_mean_std_joint,frozen_embedding,1536,66,-0.38793184053833274,17.157909437850574,12.941601212121213,100.0,22.061796245334182,outputs/cohort_covered/loso_state_tabular.csv
